tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,link,list_likes,list_retweets,list_replies
"Tidak ada urusan politik, ini untuk kemanusiaan. Warga Jakarta harus tau alokasi anggaran penanggulangan #COVID19 kemana saja.",[],11,11,17,['covid19'],[],https://twitter.com/infojakarta/status/1245761985855119361,"['@Cisnantoe', '@Sekaraw6', '@Jonly77911468', '@an_introver', '@MAUL50435518', '@uQon_nisme', '@srwln', '@Joni_messi', '@JoedanadiErwino', '@ririribek', '@MukhlisSaptono', '@zeazeejiggy', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '', '']","['@zksiq', '@yud_iii', '@tghtry', '@mypokah', '@JokerKhayalan', '@MukhlisSaptono', '@rayenisme', '', '', '', '', '', '', '', '', '', '@tubirfess', '@bwifess', '@codingfess', '@sstsetya', '@sstsetya', '', '', '', '']","['@infojakarta', '@DKIJakarta', '@infojakarta', '@Alchakim', '@Qis5a', '@Gunawan94592770', '@0phium', '@Vicky_erFu', '@eko_oetama']"
😢   #COVID19  https://t.co/Y6TrhNBTfX,[],2,10,18,['covid19'],[],https://twitter.com/infojakarta/status/1245756235581755392,"['@Effendyaja', '@Yassin01068663', '@Buchori20A', '@adhynur_i', '@SerraRara1', '@DjunaediRamdhan', '@BikinGatel', '@ashafiask', '@septianiswp', '@AriefArrah', '@Habiburrahim_Al', '@nmbayuu', '@Jk_mytimeee', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '', '']","['@yhaaribet', '@Gawick', '@belladom7', '@bunnyearswith', '@chindesrella', '@wndynabila', '@EngineerKucluK', '@Jk_mytimeee', '', '', '', '', '', '', '', '', '', '@tubirfess', '@bwifess', '@codingfess', '@sstsetya', '@sstsetya', '', '', '', '', '']","['@infojakarta', '@mbek_X', '@Khariestama']"
Source @COVID19_INDI,[],0,2,1,[],[],https://twitter.com/infojakarta/status/1244168059205517312,"['@ajgkzll', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '']","['@sam_joko', '', '', '', '', '', '', '', '', '', '@tubirfess', '@bwifess', '@codingfess', '@sstsetya', '@sstsetya', '', '', '', '']","['@infojakarta', '@infojakarta']"
@theresanitaw Source @COVID19_INDI,[],0,0,2,[],"[{'screen_name': 'theresanitaw', 'name': 'Theresa Anita W', 'id': '155583389'}]",https://twitter.com/infojakarta/status/1244167789155254272,"['@haji_abbasNU', '@Medeliskurnia', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '']",[],"['@infojakarta', '@theresanitaw', '@infojakarta']"
"Bantu RT  Untuk para pemilik usaha kuliner di area Jakarta dsktrnya, yang terkena dampak pademi #COVID19.  Silahkan reply, promosikan produk kamu. Bila ada sertakan juga pemesanan di ojol.  Ayo Jakartans, kita saling bantu.  #KulinerJakarta",[],51,101,114,"['covid19', 'kulinerjakarta']",[],https://twitter.com/infojakarta/status/1242266221275279360,"['@MeldiQuen', '@Supriya68544510', '@YulidaNing', '@Cheesec48317464', '@MariaPasianus', '@HelloQetty__', '@Irawan07122431', '@meydap77', '@PutriArrofahS', '@revi_arti', '@ArdhFil', '@AlifahNafisa3', '@onlybadgurl', '@ani_suma7912', '@rony6916', '@abieAffan1', '@dimasnamanya', '@isfanharunr', '@RhmattsDwiki06', '@yuni89army', '@mariosaktii1', '@viajubeel', '@Hilmialfarisi2', '@nalobong20', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '']","['@nasep6691', '@Mitalarasati10', '@HelloQetty__', '@meydap77', '@snowkahontas', '@ArdhFil', '@smkdipo_1', '@derryl_liem', '@dimasnamanya', '@titisfdllh', '@anjanisihombing', '@adamsongz', '@HadiyBembenk', '@myedelweis', '@triya_azka', '@Anthonysays_', '@stimarami', '@noviakardinaa', '@Far_Easy', '@dimasssat', '@SienSienny', '@SonyaAmriani', '@kikipediaa', '@mandjaaaaaa', '', '', '', '', '', '', '', '', '', '@tubirfess', '@bwifess', '@codingfess', '@sstsetya', '@sstsetya', '', '', '', '']","['@remvah', '@Sammy80187161', '@Dieng_mayo', '@rizkigra', '@fznfbriansyah', '@Herilee88', '@oktiokt', '@WarungPasta', '@andrielputra', '@sbelinna', '@dindasnuraeni', '@halobornok', '@Dianatasari', '@agusjuliyan']"
Update.  Data #COVID19 di semua negara.  data per pagi ini. (07:47 wib).   Source: worldometers  https://t.co/dw4aYfFldi,[],0,38,46,['covid19'],[],https://twitter.com/infojakarta/status/1242255349819691014,"['@Avery09902232', '@MiselAmita', '@indrams6', '@BangBob63930880', '@Danny_thekingz', '@mawanhe31541074', '@AntoS78945704', '@baravirgi', '@Alwirizki96', '@WirotomoP', '@AliceHadi22', '@BadinRhyanti', '@UbaidAbdullah17', '@aslitiCiamis', '@_Gagan_Algarni_', '@yogi_yazid', '@dipajahr', '@suzestful', '@sunantokp', '@kikyy___', '@mynicknamesha', '@Madya_Indriani3', '@Tha_Nezz', '@wHD___', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '', '']","['@nickdunhol', '@vianluthfiani', '@aldiedork1', '@Xxxacenio', '@Vicar_Alexander', '@zamethzulfik', '@_Gagan_Algarni_', '@fina_fine', '@nurulanisaah', '@MonicaAmeliana', '@destianizm', '@lbrasipetualang', '@yaqfiajriya', '@BillyJS_09', '@tessamba', '@GrahaLingga', '@siyonriii', '@riskautr', '@Lionk_4s4c', '@theuglypretty_', '@dilladaru1', '@rully47384851', '@SafiraAlatas', '@almaame', '', '', '', '', '', '', '', '', '', '@tubirfess', '@bwifess', '@codingfess', '@sstsetya', '@sstsetya', '', '', '', '']",['@infojakarta']
Vaksin Sinovac.. Halal.   https://t.co/RSc3G6lRXr,[],3,6,17,[],[],https://twitter.com/infojakarta/status/1347527216444280834,"['@fandizuma1', '@fdlyamubakhira', '@Sandy20186011', '@inyongcisauk', '@Chandra03866864', '@AliceTahya', '@JoiceYusriani', '@sslatifm', '@dhiba03', '@arinooradnan', '@B54Pei', '@Dun_Vad', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '', '']","['@fitrywhys', '@Jojonanajam', '@suleman_ahmda', '@wulanramdhoni', '', '', '', '', '', '', '', '', '', '@tubirfess', '@bwifess', '@codingfess', '@sstsetya', '@sstsetya', '', '', '', '']","['@infojakarta', '@PutraWilson']"
"Tepat setahun pandemi Covid-19, total akumulasi kasus di Jakarta mencapai 342.371 kasus. Dari jumlah tersebut, total orang dinyatakan telah sembuh sebanyak 328.526 dan 5.568 orang meninggal dunia.  https://t.co/tRjjGbEqDV",[],1,0,2,[],[],https://twitter.com/infojakarta/status/1366969561669464068,"['@RiodileRambles', '@suzestful', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '']",[],['@infojakarta']
"@LaluMuzayin Di dalam Jakarta selalu ada betawi.  Mereka jual, kita beli.  Rakyatnya idup susah gara-gara pandemi, bantuannye malah dikorupsi.   Minta diberi.",[],1,0,1,[],"[{'screen_name': 'LaluMuzayin', 'name': 'Lalu R. Muzayin', 'id': '457246439'}]",https://twitter.com/infojakarta/status/1335496639071449088,"['@LaluMuzayin', '', '', '', '', '', '', '', '@kompascom', '@kompascom', '', '', '', '', '']",[],"['@LaluMuzayin', '@infojakarta', '@infojakarta', '@LaluMuzayin']"
"Buka-bukaan yuk , selama pandemi gaji kamu kena potong berapa persen? #celotehjakarta",[],73,8,27,['celotehjakarta'],[],https://twitter.com/infojakarta/status/1310478189186019328,"['@DedeErik13', '@ayasha10', '@tulusriyadi13', '@ArisMustamin2', '@_marhaba_', '@Irwansy73247748', '@nurmala74225517', '@Jakabajul4', '@taufiq0905', '@teamhura2', '@jossumarto', '@adam_mae', '@daripadapacarmu', '@Mferdiko3', '@Sahrulrul_', '@eggaharisubagya', '@NNamesz', '@GreyMatatabi', '@Lapok_Boedjang', '@AkuNINZA', '@marselinarosali', '@ziz_hnx', '@muhtarramadan', '', '', '', '', '', '', '', '', '@sbyfess', '@txtdrberseragam', '@worksfess', '', '', '', '', '']","['@jpic6917', '@jossumarto', '@ernaereeennn', '@infojakarta', '@brmmaduseno', '@NNamesz', '@GessyHGanie', '', '', '', '', '', '', '', '', '@memefess', '@tubirfess', '@tubirfess', '@bwifess', '@sstsetya', '', '', '', '', '']","['@Anonyzt', '@YunindaYeni', '@manof_nowhere', '@saktiwahyu3', '@seleptwitt', '@pesendong', '@jamal_rahmad', '@Gaizz13', '@rrdewok', '@zulkifli236', '@Arie_16', '@fznamr', '@HermawanWidagdo', '@yolaniez', '@ziz_hnx', '@Setoy_marley', '@lagidicari', '@samidseven', '@Diwe_diwe', '@tissyumagic', '@cindeu', '@tokosans1', '@eman_alaska', '@trans_dadi', '@LuckyAriyanti06', '@sri06239248', '@alvanpost', '@WithOneWithYou', '@ali_harnoko', '@Kanipra', '@bungvictor', '@rzkyynt_', '@lindaseptino', '@greenZie', '@sabirsultan69', '@luky_chan', '@piterjanson16', '@babyoil008', '@simozamoza']"
"Antar Pemprov dan dengan Pemerintah pusat, harus memiliki program yg sejalan.  Jangan sampai bertabrakan, apalagi Saling Menyalahkan.  Ini pandemi, bukan Among Us. #celotehjakarta  #AmongUsindonesia  https://t.co/5hdllU4AdM",[],3,28,25,"['celotehjakarta', 'amongusindonesia']",[],https://twitter.com/infojakarta/status/1309008395882594306,"['@Risqi__da', '@noisee88', '@iankomarudin', '@adityawijaya', '@RizqiBagus9', '@DikaDoki', '@adhityahakim', '@nanaspasar', '@aulia_yonantha', '@MegaendahS', '@pukupukupowpoww', '@Anonymous_dark9', '@SlightlyMishap', '@theresia_uci09', '@shejustired', '@anaksusu', '@manusya_byasa', '@sonsofartemis', '@putradaskian', '@_bottletea', '', '', '', '', '', '', '', '', '@sbyfess', '@txtdrberseragam', '@worksfess', '', '', '', '', '']","['@ftpamilu', '@rezaazhaa', '@DikaDoki', '@bocud', '@Yailahmo', '@aldinjuniarty', '@Dika_Putr', '@catwoman1928', '@dr_disruptor', '@kubaay', '@deviefitria90', '@hartatahtaJAE', '@SlightlyMishap', '@upie_hafiz', '@FSchwarzeneger', '@lambe_trah', '@aufamukaffi', '', '', '', '', '', '', '', '', '@memefess', '@tubirfess', '@tubirfess', '@bwifess', '@sstsetya', '', '', '', '', '']","['@infojakarta', '@RED_LINE_209', '@fanguin']"
Hal positif apa yang kamu dapatkan dari pandemi ini?,[],108,3,24,[],[],https://twitter.com/infojakarta/status/1308648678601625601,"['@cindyharvardyan', '@Yeyen24087646', '@nabilahahaa', '@THestty', '@parasiteevvee', '@edwardfauzann25', '@achmadarif__', '@lidiaaaaaaaaaa4', '@Archipe94921731', '@riyankopite', '@deliaclarissaa', '@caseylutfhi', '@mohhasan_bisri', '@alexkuple', '@yosiaadyasta', '@nengSh1Nt4', '@noelrusmana99', '@widaijan', '', '', '', '', '', '', '', '', '@sbyfess', '@txtdrberseragam', '@worksfess', '', '', '', '', '']","['@derrykhadimadja', '', '', '', '', '', '', '', '', '@memefess', '@tubirfess', '@tubirfess', '@sstsetya', '', '', '', '']","['@Azkamaulana2014', '@Huseinfikriansh', '@dee_pypy', '@Tomsut2', '@Kittokatsuuuuu', '@mohammedputra', '@heyyfen', '@IreneJulianty', '@mardi_robot', '@losylviaa', '@amukanwarga', '@jibotwo', '@callmeraja', '@estehtehmanis', '@marselinarosali', '@riev13', '@amangkurat', '@fadjarzcrackerz', '@noelrusmana99', '@bababuwu', '@taupikatchu', '@nengSh1Nt4', '@ndiiandevoe', '@sabirsultan69', '@alber_fabrianto', '@ipamnx', '@augustbudyanto', '@andriowiliam', '@Nandang32613279', '@andikadikk', '@trohficho', '@Anome22993456', '@alexkuple', '@MALDININICO13', '@megane_brai', '@YanniPramono']"
"NEWS  Mulai senin depan, Malaysia menutup akses masuk untuk Warga Negara Indonesia, India, dan filipina sebagai bagian dari pengendalian pandemi.    https://t.co/7PKf4zu1u3",[],2,10,14,[],[],https://twitter.com/infojakarta/status/1300867210974359553,"['@ramospriambodo', '@Vavoyy98', '@feekau', '@putriwahyuha', '@MarianiSekedang', '@Adin15570828', '@reddishpeach', '@endibiaro', '@fahrizaim3', '@mhmmdahsan1', '@dwrhnrs', '', '', '', '', '', '', '', '', '@sbyfess', '@txtdrberseragam', '@worksfess', '', '', '', '']","['@aruvisan', '@coffeecaramello', '@scheera__', '@SusiDudayev', '@caramelsKYU', '@stefanu17', '', '', '', '', '', '', '', '', '@memefess', '@tubirfess', '@tubirfess', '@sstsetya', '', '', '', '']","['@infojakarta', '@gadamasalah', '@reddishpeach']"
